n_features,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю
1,TVS-RF,0.361256545,0,REVS-RF,0.361256545,0,Logistic,0.458115183,0,RandomForest,0.458115183,0
2,TVS-RF,0.361780105,1.37E-06,REVS-RF,0.458115183,0,Logistic,0.503664921,5.48E-06,RandomForest,0.480628272,0.00044064
3,TVS-RF,0.368062827,0.000231627,REVS-RF,0.502617801,0,Logistic,0.508900524,0.000197363,RandomForest,0.492670157,0.001204051
4,TVS-RF,0.386387435,0.000618815,REVS-RF,0.510994764,2.19E-05,Logistic,0.510471204,0.000185028,RandomForest,0.496335079,0.001358927
5,TVS-RF,0.394240838,0.001619336,REVS-RF,0.505759162,1.85E-05,Logistic,0.514136126,0.000169951,RandomForest,0.507329843,0.000871687
6,TVS-RF,0.412565445,0.002866561,REVS-RF,0.517277487,0.000457773,Logistic,0.495287958,0.000443381,RandomForest,0.509424084,0.00095118
7,TVS-RF,0.4,0.002814479,REVS-RF,0.507853403,0.000137058,Logistic,0.516753927,0.000166525,RandomForest,0.513089005,0.001195828
8,TVS-RF,0.37591623,0.001074532,REVS-RF,0.521989529,0.000368685,Logistic,0.516753927,0.000166525,RandomForest,0.511518325,0.001074532
9,TVS-RF,0.370157068,0.000396097,REVS-RF,0.502617801,0,Logistic,0.528795812,0,RandomForest,0.50104712,0.000827828
10,TVS-RF,0.379057592,0.000292618,REVS-RF,0.523560209,0.000137058,Logistic,0.513089005,0.000205586,RandomForest,0.507853403,0.001127299
11,TVS-RF,0.428272251,0.001821496,REVS-RF,0.537696335,7.40E-05,Logistic,0.513089005,0.000205586,RandomForest,0.506282723,0.000985444
12,TVS-RF,0.434554974,0.001062197,REVS-RF,0.510994764,0.001341109,Logistic,0.509424084,0.000368685,RandomForest,0.509947644,0.000268633
13,TVS-RF,0.394240838,0.001564513,REVS-RF,0.518324607,0.000205586,Logistic,0.505759162,0.000498205,RandomForest,0.516753927,0.000416655
14,TVS-RF,0.438743455,0.001691291,REVS-RF,0.518324607,0.000205586,Logistic,0.523036649,0.000439955,RandomForest,0.502617801,0
15,TVS-RF,0.415183246,0.003952743,REVS-RF,0.520418848,0.000282339,Logistic,0.537696335,0.001965407,RandomForest,0.513612565,0.000604424
16,TVS-RF,0.452356021,0.001248595,REVS-RF,0.527225131,0.000834681,Logistic,0.509947644,0.000268633,RandomForest,0.509947644,0.000268633
17,TVS-RF,0.390575916,0.000744908,REVS-RF,0.546073298,0.002965927,Logistic,0.52565445,0.001214331,RandomForest,0.518848168,0.000501631
18,TVS-RF,0.403141361,0.000609907,REVS-RF,0.507853403,0.001127299,Logistic,0.509947644,0.000268633,RandomForest,0.49895288,6.72E-05
19,TVS-RF,0.390052356,0.000322085,REVS-RF,0.49895288,0.000649653,Logistic,0.509947644,0.000268633,RandomForest,0.50104712,0.000827828
20,TVS-RF,0.389528796,0.001841369,REVS-RF,0.472251309,0.000416655,Logistic,0.484816754,0.000594145,RandomForest,0.509947644,0.000268633
21,TVS-RF,0.396335079,0.001331515,REVS-RF,0.513089005,0.000205586,Logistic,0.506282723,0.000402949,RandomForest,0.502617801,0
22,TVS-RF,0.413089005,0.001868781,REVS-RF,0.502617801,0,Logistic,0.495287958,0.000100737,RandomForest,0.506282723,0.000402949
23,TVS-RF,0.491099476,0.00186604,REVS-RF,0.519895288,0.001492558,Logistic,0.506282723,0.000402949,RandomForest,0.495287958,0.000100737
24,TVS-RF,0.443455497,0.001773526,REVS-RF,0.516753927,0.001814643,Logistic,0.502617801,0,RandomForest,0.509947644,0.000268633
25,TVS-RF,0.442931937,0.003013212,REVS-RF,0.518324607,0.002388229,Logistic,0.52565445,0.001214331,RandomForest,0.506282723,0.000402949
26,TVS-RF,0.45078534,0.00153299,REVS-RF,0.497382199,0.000880595,Logistic,0.49895288,6.72E-05,RandomForest,0.49895288,6.72E-05
27,TVS-RF,0.412041885,0.002883693,REVS-RF,0.50104712,0.000827828,Logistic,0.495287958,0.000100737,RandomForest,0.481151832,0.000498205
28,TVS-RF,0.412565445,0.001239001,REVS-RF,0.49895288,6.72E-05,Logistic,0.502617801,0,RandomForest,0.502617801,0
29,TVS-RF,0.434031414,0.004236452,REVS-RF,0.481151832,0.000498205,Logistic,0.502617801,0,RandomForest,0.517277487,0.000402949
30,TVS-RF,0.39895288,0.002544475,REVS-RF,0.495287958,0.000100737,Logistic,0.497382199,0.000880595,RandomForest,0.49895288,6.72E-05
