n_features,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю
1,REVS-BART,0.015213765,0,REVS-RF,0.015213765,0,BART,0.833504721,0,TVS-RF,0.015185124,0.018008442,TVS-BART,0.010481923,0.014352964,DART,0.833504721,0,Lasso,0.833504721,0,SSLASSO,0.833504721,0,SIS,0.171319548,0.370221117
2,REVS-BART,0.082304321,0.07885126,REVS-RF,0.834647411,0.001316768,BART,0.841726018,0.013685333,TVS-RF,0.836979267,0.002725594,TVS-BART,0.205320375,0.266294562,DART,0.847712471,0.016912667,Lasso,0.835950939,0,SSLASSO,0.835950939,0,SIS,0.474769214,0.423732186
3,REVS-BART,0.1536992,0.05163138,REVS-RF,0.846168092,0.013816567,BART,0.849084362,0.018307341,TVS-RF,0.839096194,0.003191092,TVS-BART,0.500784229,0.417399753,DART,0.850149646,0.01653344,Lasso,0.840328112,0,SSLASSO,0.835787876,0.010152276,SIS,0.4944688,0.424469747
4,REVS-BART,0.848740262,0.021735431,REVS-RF,0.842972078,0.00215146,BART,0.856205886,0.020442051,TVS-RF,0.84307127,0.019012199,TVS-BART,0.867831033,0.011259835,DART,0.861709665,0.0123851,Lasso,0.840174434,0,SSLASSO,0.840174434,0,SIS,0.520201221,0.437946516
5,REVS-BART,0.857490163,0.026463152,REVS-RF,0.867035319,0.012372014,BART,0.869921753,0.010732194,TVS-RF,0.873824918,0.012811199,TVS-BART,0.750400567,0.289327274,DART,0.85196201,0.025036073,Lasso,0.8285127,0.015387116,SSLASSO,0.817275539,0,SIS,0.492464644,0.399417719
6,REVS-BART,0.861059577,0.02719936,REVS-RF,0.882936671,0.008808235,BART,0.864150766,0.015301863,TVS-RF,0.871269269,0.030699635,TVS-BART,0.864458346,0.015266357,DART,0.85707936,0.015006997,Lasso,0.840533859,0.026326564,SSLASSO,0.834090281,0.023265811,SIS,0.460163785,0.42634869
7,REVS-BART,0.88014497,0.004561762,REVS-RF,0.870942802,0.016298952,BART,0.852352999,0.002140609,TVS-RF,0.85972062,0.014333893,TVS-BART,0.863800217,0.014370923,DART,0.866983391,0.016317624,Lasso,0.833162803,0.027249311,SSLASSO,0.835216679,0.025049939,SIS,0.711249751,0.312030394
8,REVS-BART,0.865706923,0.025780221,REVS-RF,0.866043598,0.018140725,BART,0.864750579,0.016632816,TVS-RF,0.867055404,0.019061951,TVS-BART,0.74991226,0.26872946,DART,0.862634358,0.031156399,Lasso,0.816745903,0,SSLASSO,0.816745903,0,SIS,0.713297968,0.313928145
9,REVS-BART,0.864801998,0.016381932,REVS-RF,0.86561954,0.025475359,BART,0.867335305,0.01962674,TVS-RF,0.881287215,0.013556621,TVS-BART,0.880988682,0.015851133,DART,0.851250313,0.022769888,Lasso,0.814510827,0.004601489,SSLASSO,0.816568675,0,SIS,0.625954108,0.360931344
10,REVS-BART,0.860058875,0.016042842,REVS-RF,0.883449755,0.003117795,BART,0.864625611,0.030199522,TVS-RF,0.876216582,0.021302607,TVS-BART,0.872447197,0.018074884,DART,0.859985483,0.03101631,Lasso,0.816391104,0,SSLASSO,0.816391104,0,SIS,0.82942271,0.076375753
11,REVS-BART,0.849033128,0.025099886,REVS-RF,0.848822284,0.012964051,BART,0.86045273,0.034501024,TVS-RF,0.858825059,0.032380406,TVS-BART,0.861176704,0.026019897,DART,0.859588334,0.035256176,Lasso,0.816213188,0,SSLASSO,0.816213188,0,SIS,0.823572255,0.07035596
12,REVS-BART,0.875923303,0.021414452,REVS-RF,0.869192062,0.028858981,BART,0.870610997,0.030403694,TVS-RF,0.887872371,0.002007147,TVS-BART,0.867222379,0.020570668,DART,0.877098078,0.019945186,Lasso,0.816034927,0,SSLASSO,0.816034927,0,SIS,0.868878328,0.034156455
13,REVS-BART,0.847147975,0.01186867,REVS-RF,0.886077249,0.019179641,BART,0.851428712,0.035134057,TVS-RF,0.877681296,0.02907156,TVS-BART,0.876754076,0.022317327,DART,0.867091272,0.020070168,Lasso,0.81585632,0,SSLASSO,0.81585632,0,SIS,0.860231114,0.017386119
14,REVS-BART,0.869472508,0.029380864,REVS-RF,0.886239825,0.015240886,BART,0.855771321,0.025345255,TVS-RF,0.872677243,0.029998061,TVS-BART,0.84637554,0.031008931,DART,0.863009419,0.02679479,Lasso,0.815677366,0,SSLASSO,0.815677366,0,SIS,0.884471964,0.032827987
15,REVS-BART,0.848151658,0.024641458,REVS-RF,0.874936863,0.032120487,BART,0.854732489,0.023597201,TVS-RF,0.866838492,0.043060884,TVS-BART,0.84929284,0.026825271,DART,0.838656304,0.021846974,Lasso,0.813428205,0.004628346,SSLASSO,0.813428205,0.004628346,SIS,0.870803096,0.025516123
16,REVS-BART,0.87207331,0.031986197,REVS-RF,0.860792747,0.035861778,BART,0.856631269,0.024878291,TVS-RF,0.865431352,0.030181948,TVS-BART,0.862562354,0.016195773,DART,0.842631963,0.021692688,Lasso,0.813246538,0.004632852,SSLASSO,0.815318413,0,SIS,0.881760659,0.037779184
17,REVS-BART,0.870922341,0.031177795,REVS-RF,0.873492629,0.020205568,BART,0.835895012,0.014592764,TVS-RF,0.887952506,0.016583902,TVS-BART,0.857040488,0.039022971,DART,0.836647389,0.020648633,Lasso,0.813064517,0.004637368,SSLASSO,0.815138411,0,SIS,0.850558869,0.02995678
18,REVS-BART,0.850363525,0.027496872,REVS-RF,0.849701645,0.031097552,BART,0.865399069,0.030440417,TVS-RF,0.868867094,0.040000321,TVS-BART,0.874152459,0.031812731,DART,0.859384801,0.025039356,Lasso,0.812882141,0.004641892,SSLASSO,0.812882141,0.004641892,SIS,0.874435676,0.034218959
19,REVS-BART,0.867323748,0.038887346,REVS-RF,0.867144051,0.038602837,BART,0.842302277,0.016140038,TVS-RF,0.852835409,0.038273735,TVS-BART,0.84597951,0.031862427,DART,0.848896962,0.025121614,Lasso,0.812699409,0.004646425,SSLASSO,0.814777353,0,SIS,0.851591289,0
20,REVS-BART,0.858208218,0.026249964,REVS-RF,0.851854393,0.028516308,BART,0.834549407,0.019315253,TVS-RF,0.87528516,0.033066753,TVS-BART,0.845815931,0.031867679,DART,0.860116801,0.035834625,Lasso,0.812516319,0.004650967,SSLASSO,0.814596295,0,SIS,0.881434844,0.027375746
21,REVS-BART,0.872514594,0.032988788,REVS-RF,0.860736864,0.036831012,BART,0.856857089,0.033872162,TVS-RF,0.839536437,0.033501827,TVS-BART,0.839396505,0.03318893,DART,0.867997567,0.031851853,Lasso,0.814414883,0,SSLASSO,0.806086839,0.004655518,SIS,0.871312841,0.027402532
22,REVS-BART,0.844514948,0.032210355,REVS-RF,0.860655484,0.036934467,BART,0.867880684,0.039758702,TVS-RF,0.822123143,0.005051241,TVS-BART,0.852510921,0.030306563,DART,0.837877228,0.018478928,Lasso,0.812149064,0.004660078,SSLASSO,0.814233115,0,SIS,0.850461773,0.031381101
23,REVS-BART,0.834929689,0.014678604,REVS-RF,0.830964118,0.015102773,BART,0.830964118,0.015102773,TVS-RF,0.868799924,0.040707241,TVS-BART,0.828702919,0.017083329,DART,0.860523407,0.036977015,Lasso,0.811964897,0.004664647,SSLASSO,0.811964897,0.004664647,SIS,0.850315167,0.031411867
24,REVS-BART,0.845684472,0.032938353,REVS-RF,0.84519547,0.031962507,BART,0.828534816,0.017100094,TVS-RF,0.836775539,0.035152946,TVS-BART,0.857685379,0.026417113,DART,0.863276975,0.034952351,Lasso,0.809692227,0.005718609,SSLASSO,0.813868508,0,SIS,0.86556885,0.034182701
25,REVS-BART,0.867357007,0.031821125,REVS-RF,0.835133818,0.021114328,BART,0.85879569,0.037231374,TVS-RF,0.859110536,0.041463982,TVS-BART,0.861141143,0.038189277,DART,0.875206369,0.033624566,Lasso,0.811595476,0.004673811,SSLASSO,0.807415093,0.005724226,SIS,0.855391489,0.027993125
26,REVS-BART,0.837239576,0.018551608,REVS-RF,0.860296513,0.037320105,BART,0.88411024,0.033798861,TVS-RF,0.860296513,0.037320105,TVS-BART,0.830465487,0.015147324,DART,0.852024549,0.043649435,Lasso,0.837904902,0.031782362,SSLASSO,0.837239576,0.018551608,SIS,0.852519606,0.031528039
27,REVS-BART,0.838322675,0.033104561,REVS-RF,0.838448059,0.033384927,BART,0.846365056,0.035329709,TVS-RF,0.836177958,0.035000754,TVS-BART,0.849498271,0.046174659,DART,0.845134178,0.032846173,Lasso,0.859065227,0.026973111,SSLASSO,0.845503713,0.033587381,SIS,0.866545786,0.03120612
28,REVS-BART,0.835921826,0.034825523,REVS-RF,0.842803994,0.035253068,BART,0.855497677,0.0314945,TVS-RF,0.823343992,0,TVS-BART,0.844856093,0.032627724,DART,0.865622169,0.043964293,Lasso,0.823343992,0,SSLASSO,0.830131429,0.015177171,SIS,0.848294755,0.044777879
29,REVS-BART,0.8540044,0.042222634,REVS-RF,0.827689327,0.017184414,BART,0.820895196,0.005086112,TVS-RF,0.836758037,0.018606494,TVS-BART,0.829963906,0.015192139,DART,0.866582495,0.03163673,Lasso,0.820895196,0.005086112,SSLASSO,0.820895196,0.005086112,SIS,0.8448518,0.032957128
30,REVS-BART,0.867792686,0.040895116,REVS-RF,0.851188209,0.044056468,BART,0.843366529,0.032630644,TVS-RF,0.844770461,0.033133447,TVS-BART,0.83659689,0.018624862,DART,0.851476381,0.030788256,Lasso,0.844770461,0.033133447,SSLASSO,0.852944032,0.041009108,SIS,0.850523572,0.043141936
