n_features,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю,method,ОљжЕ,БъзМВю
1,TVS-RF,0.583552632,0.001801719,REVS-RF,0.563377193,0.025824638,Logistic,0.558991228,0.044298789,RandomForest,0.723245614,0.029428076,SVM,0.701754386,0
2,TVS-RF,0.600877193,0.048463176,REVS-RF,0.745833333,0.016122523,Logistic,0.579824561,0.026649474,RandomForest,0.777631579,0.011352789,SVM,0.757017544,0.005405157
3,TVS-RF,0.625438597,0.083349924,REVS-RF,0.787938596,0.018259131,Logistic,0.629824562,0.03304607,RandomForest,0.806359649,0.000980731,SVM,0.788815789,0.003922926
4,TVS-RF,0.649342105,0.062082129,REVS-RF,0.790789474,0.009252203,Logistic,0.687061403,0.06047922,RandomForest,0.806798246,0.00427491,SVM,0.807236842,0.004804584
5,TVS-RF,0.640131579,0.037836098,REVS-RF,0.802192982,0.015576352,Logistic,0.695175438,0.067248979,RandomForest,0.812061403,0.005460482,SVM,0.805482456,0.003922926
6,TVS-RF,0.655263158,0.062339167,REVS-RF,0.803947368,0.008220028,Logistic,0.648903509,0.057481664,RandomForest,0.803947368,0.016672437,SVM,0.798245614,0.015133962
7,TVS-RF,0.657236842,0.042144365,REVS-RF,0.793201754,0.011722717,Logistic,0.695394737,0.076229408,RandomForest,0.803508772,0.016307888,SVM,0.802192982,0.01553771
8,TVS-RF,0.672587719,0.06121034,REVS-RF,0.806140351,0.010810314,Logistic,0.660964912,0.073585101,RandomForest,0.814692982,0.002795515,SVM,0.802631579,0.015908573
9,TVS-RF,0.668421053,0.027734943,REVS-RF,0.808991228,0.00533801,Logistic,0.70877193,0.033748069,RandomForest,0.812061404,0.004940299,SVM,0.802631579,0.006346402
10,TVS-RF,0.66995614,0.030642957,REVS-RF,0.812719298,0.008955052,Logistic,0.715570176,0.041053311,RandomForest,0.808114035,0.009590381,SVM,0.807017544,0
11,TVS-RF,0.701096491,0.061816243,REVS-RF,0.814692983,0.006759226,Logistic,0.716008772,0.051529255,RandomForest,0.807236842,0.014881612,SVM,0.798026316,0.01274951
12,TVS-RF,0.720175439,0.039590774,REVS-RF,0.813157895,0.006183277,Logistic,0.725657895,0.058281371,RandomForest,0.797587719,0.014723228,SVM,0.80372807,0
13,TVS-RF,0.679166667,0.027648108,REVS-RF,0.812061403,0.004940298,Logistic,0.769736842,0.026327209,RandomForest,0.801973684,0.025581401,SVM,0.806798245,0.006865121
14,TVS-RF,0.684868421,0.017605429,REVS-RF,0.815131579,0.004073284,Logistic,0.763157895,0.009745827,RandomForest,0.81381579,0.01348283,SVM,0.80372807,0
15,TVS-RF,0.697587719,0.039598365,REVS-RF,0.813377193,0.006025716,Logistic,0.734649123,0.063553941,RandomForest,0.808333333,0.019280794,SVM,0.798026316,0.01274951
16,TVS-RF,0.667324561,0.024525644,REVS-RF,0.815131579,0.006374756,Logistic,0.736184211,0.060369784,RandomForest,0.802850877,0.019466966,SVM,0.795614035,0.012540332
17,TVS-RF,0.682017544,0.009527493,REVS-RF,0.809429825,0.021478357,Logistic,0.755701754,0.037428757,RandomForest,0.803289474,0.019791591,SVM,0.80372807,0
18,TVS-RF,0.691666667,0.015991489,REVS-RF,0.803289473,0.015806217,Logistic,0.721491228,0.061251574,RandomForest,0.800438597,0.017284959,SVM,0.795614035,0.012540332
19,TVS-RF,0.686842105,0.028525636,REVS-RF,0.821052632,0.004804584,Logistic,0.780701754,0.016844618,RandomForest,0.794517544,0.017758419,SVM,0.792324561,0.015614898
20,TVS-RF,0.696710526,0.051997274,REVS-RF,0.811842105,0.003603438,Logistic,0.781798245,0.027081336,RandomForest,0.814473684,0.006317922,SVM,0.810964912,0.006606303
21,TVS-RF,0.720833334,0.033872529,REVS-RF,0.81622807,0.005460483,Logistic,0.747587719,0.061790953,RandomForest,0.808114035,0.018543349,SVM,0.813377193,0.013212605
22,TVS-RF,0.715789474,0.047929336,REVS-RF,0.815350877,0.000980732,Logistic,0.742982456,0.040187563,RandomForest,0.806359649,0.022006445,SVM,0.795614035,0.012540332
23,TVS-RF,0.713157895,0.063816355,REVS-RF,0.799561404,0.022221201,Logistic,0.787061403,0.025508449,RandomForest,0.817982456,0.013804472,SVM,0.806140351,0.005394024
24,TVS-RF,0.782236842,0.006035684,REVS-RF,0.806359649,0.017639542,Logistic,0.765131579,0.019909696,RandomForest,0.805921053,0.017371688,SVM,0.800438596,0.01503433
25,TVS-RF,0.699780702,0.069354262,REVS-RF,0.81754386,0.003922926,Logistic,0.776315789,0.028750242,RandomForest,0.819517544,0.011799387,SVM,0.800219298,0.024645455
26,TVS-RF,0.716447369,0.042527748,REVS-RF,0.811842105,0.022372183,Logistic,0.761403509,0.038577173,RandomForest,0.796929824,0.020000072,SVM,0.79254386,0.018156782
27,TVS-RF,0.732017544,0.054531012,REVS-RF,0.815350877,0.003922927,Logistic,0.785745614,0.017960379,RandomForest,0.81754386,0.006830005,SVM,0.778508772,0.007355487
28,TVS-RF,0.79495614,0.008205389,REVS-RF,0.81622807,0.005460483,Logistic,0.785964912,0.011111953,RandomForest,0.814035088,0.0028593,SVM,0.7875,0.012244425
29,TVS-RF,0.778947368,0.047980732,REVS-RF,0.809868421,0.020419482,Logistic,0.776754386,0.027043573,RandomForest,0.790131579,0.020551534,SVM,0.795833333,0.015533841
30,TVS-RF,0.790131579,0.007173433,REVS-RF,0.810526316,0.002942195,Logistic,0.795175439,0.013121294,RandomForest,0.80504386,0.016993846,SVM,0.797587719,0.021114219
