run_id,n_features,method,accuracy,baseline_accuracy
1,1,TVS-RF,0.582236842,0.809210526
1,2,TVS-RF,0.589912281,0.809210526
1,3,TVS-RF,0.535087719,0.809210526
1,4,TVS-RF,0.615131579,0.809210526
1,5,TVS-RF,0.706140351,0.809210526
1,6,TVS-RF,0.757675439,0.809210526
1,7,TVS-RF,0.588815789,0.809210526
1,8,TVS-RF,0.663377193,0.809210526
1,9,TVS-RF,0.619517544,0.809210526
1,10,TVS-RF,0.697368421,0.809210526
1,11,TVS-RF,0.663377193,0.809210526
1,12,TVS-RF,0.686403509,0.809210526
1,13,TVS-RF,0.690789474,0.809210526
1,14,TVS-RF,0.697368421,0.809210526
1,15,TVS-RF,0.714912281,0.809210526
1,16,TVS-RF,0.640350877,0.809210526
1,17,TVS-RF,0.684210526,0.809210526
1,18,TVS-RF,0.702850877,0.809210526
1,19,TVS-RF,0.690789474,0.809210526
1,20,TVS-RF,0.6875,0.809210526
1,21,TVS-RF,0.699561404,0.809210526
1,22,TVS-RF,0.757675439,0.809210526
1,23,TVS-RF,0.649122807,0.809210526
1,24,TVS-RF,0.783991228,0.809210526
1,25,TVS-RF,0.628289474,0.809210526
1,26,TVS-RF,0.676535088,0.809210526
1,27,TVS-RF,0.79495614,0.809210526
1,28,TVS-RF,0.808114035,0.809210526
1,29,TVS-RF,0.790570175,0.809210526
1,30,TVS-RF,0.790570175,0.809210526
1,1,REVS-RF,0.582236842,0.809210526
1,2,REVS-RF,0.734649123,0.809210526
1,3,REVS-RF,0.808114035,0.809210526
1,4,REVS-RF,0.781798246,0.809210526
1,5,REVS-RF,0.809210526,0.809210526
1,6,REVS-RF,0.80372807,0.809210526
1,7,REVS-RF,0.80372807,0.809210526
1,8,REVS-RF,0.810307018,0.809210526
1,9,REVS-RF,0.815789474,0.809210526
1,10,REVS-RF,0.80372807,0.809210526
1,11,REVS-RF,0.820175439,0.809210526
1,12,REVS-RF,0.816885965,0.809210526
1,13,REVS-RF,0.813596491,0.809210526
1,14,REVS-RF,0.820175439,0.809210526
1,15,REVS-RF,0.813596491,0.809210526
1,16,REVS-RF,0.824561404,0.809210526
1,17,REVS-RF,0.775219298,0.809210526
1,18,REVS-RF,0.809210526,0.809210526
1,19,REVS-RF,0.824561404,0.809210526
1,20,REVS-RF,0.815789474,0.809210526
1,21,REVS-RF,0.815789474,0.809210526
1,22,REVS-RF,0.815789474,0.809210526
1,23,REVS-RF,0.775219298,0.809210526
1,24,REVS-RF,0.775219298,0.809210526
1,25,REVS-RF,0.815789474,0.809210526
1,26,REVS-RF,0.815789474,0.809210526
1,27,REVS-RF,0.809210526,0.809210526
1,28,REVS-RF,0.815789474,0.809210526
1,29,REVS-RF,0.824561404,0.809210526
1,30,REVS-RF,0.809210526,0.809210526
1,1,Logistic,0.637061404,0.809210526
1,2,Logistic,0.535087719,0.809210526
1,3,Logistic,0.637061404,0.809210526
1,4,Logistic,0.755482456,0.809210526
1,5,Logistic,0.667763158,0.809210526
1,6,Logistic,0.714912281,0.809210526
1,7,Logistic,0.638157895,0.809210526
1,8,Logistic,0.782894737,0.809210526
1,9,Logistic,0.701754386,0.809210526
1,10,Logistic,0.734649123,0.809210526
1,11,Logistic,0.701754386,0.809210526
1,12,Logistic,0.639254386,0.809210526
1,13,Logistic,0.755482456,0.809210526
1,14,Logistic,0.773026316,0.809210526
1,15,Logistic,0.666666667,0.809210526
1,16,Logistic,0.746710526,0.809210526
1,17,Logistic,0.781798246,0.809210526
1,18,Logistic,0.652412281,0.809210526
1,19,Logistic,0.764254386,0.809210526
1,20,Logistic,0.737938596,0.809210526
1,21,Logistic,0.797149123,0.809210526
1,22,Logistic,0.734649123,0.809210526
1,23,Logistic,0.755482456,0.809210526
1,24,Logistic,0.746710526,0.809210526
1,25,Logistic,0.734649123,0.809210526
1,26,Logistic,0.775219298,0.809210526
1,27,Logistic,0.774122807,0.809210526
1,28,Logistic,0.775219298,0.809210526
1,29,Logistic,0.734649123,0.809210526
1,30,Logistic,0.797149123,0.809210526
1,1,RandomForest,0.755482456,0.809210526
1,2,RandomForest,0.764254386,0.809210526
1,3,RandomForest,0.805921053,0.809210526
1,4,RandomForest,0.80372807,0.809210526
1,5,RandomForest,0.8125,0.809210526
1,6,RandomForest,0.8125,0.809210526
1,7,RandomForest,0.8125,0.809210526
1,8,RandomForest,0.813596491,0.809210526
1,9,RandomForest,0.80372807,0.809210526
1,10,RandomForest,0.8125,0.809210526
1,11,RandomForest,0.8125,0.809210526
1,12,RandomForest,0.80372807,0.809210526
1,13,RandomForest,0.832236842,0.809210526
1,14,RandomForest,0.815789474,0.809210526
1,15,RandomForest,0.775219298,0.809210526
1,16,RandomForest,0.791666667,0.809210526
1,17,RandomForest,0.815789474,0.809210526
1,18,RandomForest,0.80372807,0.809210526
1,19,RandomForest,0.775219298,0.809210526
1,20,RandomForest,0.809210526,0.809210526
1,21,RandomForest,0.815789474,0.809210526
1,22,RandomForest,0.775219298,0.809210526
1,23,RandomForest,0.813596491,0.809210526
1,24,RandomForest,0.813596491,0.809210526
1,25,RandomForest,0.809210526,0.809210526
1,26,RandomForest,0.775219298,0.809210526
1,27,RandomForest,0.809210526,0.809210526
1,28,RandomForest,0.813596491,0.809210526
1,29,RandomForest,0.775219298,0.809210526
1,30,RandomForest,0.815789474,0.809210526
1,1,SVM,0.701754386,0.809210526
1,2,SVM,0.760964912,0.809210526
1,3,SVM,0.781798246,0.809210526
1,4,SVM,0.80372807,0.809210526
1,5,SVM,0.80372807,0.809210526
1,6,SVM,0.775219298,0.809210526
1,7,SVM,0.80372807,0.809210526
1,8,SVM,0.813596491,0.809210526
1,9,SVM,0.807017544,0.809210526
1,10,SVM,0.807017544,0.809210526
1,11,SVM,0.775219298,0.809210526
1,12,SVM,0.80372807,0.809210526
1,13,SVM,0.80372807,0.809210526
1,14,SVM,0.80372807,0.809210526
1,15,SVM,0.80372807,0.809210526
1,16,SVM,0.80372807,0.809210526
1,17,SVM,0.80372807,0.809210526
1,18,SVM,0.791666667,0.809210526
1,19,SVM,0.80372807,0.809210526
1,20,SVM,0.815789474,0.809210526
1,21,SVM,0.791666667,0.809210526
1,22,SVM,0.80372807,0.809210526
1,23,SVM,0.80372807,0.809210526
1,24,SVM,0.815789474,0.809210526
1,25,SVM,0.80372807,0.809210526
1,26,SVM,0.775219298,0.809210526
1,27,SVM,0.775219298,0.809210526
1,28,SVM,0.791666667,0.809210526
1,29,SVM,0.791666667,0.809210526
1,30,SVM,0.775219298,0.809210526
2,1,TVS-RF,0.585526316,0.775219298
2,2,TVS-RF,0.653508772,0.775219298
2,3,TVS-RF,0.594298246,0.775219298
2,4,TVS-RF,0.755482456,0.775219298
2,5,TVS-RF,0.637061404,0.775219298
2,6,TVS-RF,0.662280702,0.775219298
2,7,TVS-RF,0.675438596,0.775219298
2,8,TVS-RF,0.617324561,0.775219298
2,9,TVS-RF,0.679824561,0.775219298
2,10,TVS-RF,0.622807018,0.775219298
2,11,TVS-RF,0.757675439,0.775219298
2,12,TVS-RF,0.76754386,0.775219298
2,13,TVS-RF,0.680921053,0.775219298
2,14,TVS-RF,0.668859649,0.775219298
2,15,TVS-RF,0.728070175,0.775219298
2,16,TVS-RF,0.643640351,0.775219298
2,17,TVS-RF,0.679824561,0.775219298
2,18,TVS-RF,0.663377193,0.775219298
2,19,TVS-RF,0.638157895,0.775219298
2,20,TVS-RF,0.674342105,0.775219298
2,21,TVS-RF,0.757675439,0.775219298
2,22,TVS-RF,0.684210526,0.775219298
2,23,TVS-RF,0.658991228,0.775219298
2,24,TVS-RF,0.783991228,0.775219298
2,25,TVS-RF,0.6875,0.775219298
2,26,TVS-RF,0.730263158,0.775219298
2,27,TVS-RF,0.699561404,0.775219298
2,28,TVS-RF,0.79495614,0.775219298
2,29,TVS-RF,0.83004386,0.775219298
2,30,TVS-RF,0.801535088,0.775219298
2,1,REVS-RF,0.535087719,0.775219298
2,2,REVS-RF,0.755482456,0.775219298
2,3,REVS-RF,0.798245614,0.775219298
2,4,REVS-RF,0.785087719,0.775219298
2,5,REVS-RF,0.775219298,0.775219298
2,6,REVS-RF,0.80372807,0.775219298
2,7,REVS-RF,0.775219298,0.775219298
2,8,REVS-RF,0.80372807,0.775219298
2,9,REVS-RF,0.8125,0.775219298
2,10,REVS-RF,0.80372807,0.775219298
2,11,REVS-RF,0.815789474,0.775219298
2,12,REVS-RF,0.8125,0.775219298
2,13,REVS-RF,0.816885965,0.775219298
2,14,REVS-RF,0.809210526,0.775219298
2,15,REVS-RF,0.815789474,0.775219298
2,16,REVS-RF,0.809210526,0.775219298
2,17,REVS-RF,0.834429825,0.775219298
2,18,REVS-RF,0.809210526,0.775219298
2,19,REVS-RF,0.824561404,0.775219298
2,20,REVS-RF,0.809210526,0.775219298
2,21,REVS-RF,0.824561404,0.775219298
2,22,REVS-RF,0.815789474,0.775219298
2,23,REVS-RF,0.815789474,0.775219298
2,24,REVS-RF,0.809210526,0.775219298
2,25,REVS-RF,0.815789474,0.775219298
2,26,REVS-RF,0.815789474,0.775219298
2,27,REVS-RF,0.820175439,0.775219298
2,28,REVS-RF,0.824561404,0.775219298
2,29,REVS-RF,0.809210526,0.775219298
2,30,REVS-RF,0.809210526,0.775219298
2,1,Logistic,0.535087719,0.775219298
2,2,Logistic,0.598684211,0.775219298
2,3,Logistic,0.620614035,0.775219298
2,4,Logistic,0.67872807,0.775219298
2,5,Logistic,0.776315789,0.775219298
2,6,Logistic,0.70504386,0.775219298
2,7,Logistic,0.765350877,0.775219298
2,8,Logistic,0.627192982,0.775219298
2,9,Logistic,0.721491228,0.775219298
2,10,Logistic,0.721491228,0.775219298
2,11,Logistic,0.764254386,0.775219298
2,12,Logistic,0.778508772,0.775219298
2,13,Logistic,0.76754386,0.775219298
2,14,Logistic,0.771929825,0.775219298
2,15,Logistic,0.809210526,0.775219298
2,16,Logistic,0.734649123,0.775219298
2,17,Logistic,0.783991228,0.775219298
2,18,Logistic,0.733552632,0.775219298
2,19,Logistic,0.770833333,0.775219298
2,20,Logistic,0.790570175,0.775219298
2,21,Logistic,0.685307018,0.775219298
2,22,Logistic,0.783991228,0.775219298
2,23,Logistic,0.770833333,0.775219298
2,24,Logistic,0.793859649,0.775219298
2,25,Logistic,0.775219298,0.775219298
2,26,Logistic,0.764254386,0.775219298
2,27,Logistic,0.782894737,0.775219298
2,28,Logistic,0.776315789,0.775219298
2,29,Logistic,0.782894737,0.775219298
2,30,Logistic,0.781798246,0.775219298
2,1,RandomForest,0.701754386,0.775219298
2,2,RandomForest,0.785087719,0.775219298
2,3,RandomForest,0.808114035,0.775219298
2,4,RandomForest,0.810307018,0.775219298
2,5,RandomForest,0.8125,0.775219298
2,6,RandomForest,0.815789474,0.775219298
2,7,RandomForest,0.775219298,0.775219298
2,8,RandomForest,0.815789474,0.775219298
2,9,RandomForest,0.815789474,0.775219298
2,10,RandomForest,0.815789474,0.775219298
2,11,RandomForest,0.791666667,0.775219298
2,12,RandomForest,0.775219298,0.775219298
2,13,RandomForest,0.775219298,0.775219298
2,14,RandomForest,0.824561404,0.775219298
2,15,RandomForest,0.8125,0.775219298
2,16,RandomForest,0.775219298,0.775219298
2,17,RandomForest,0.809210526,0.775219298
2,18,RandomForest,0.815789474,0.775219298
2,19,RandomForest,0.809210526,0.775219298
2,20,RandomForest,0.809210526,0.775219298
2,21,RandomForest,0.820175439,0.775219298
2,22,RandomForest,0.815789474,0.775219298
2,23,RandomForest,0.815789474,0.775219298
2,24,RandomForest,0.815789474,0.775219298
2,25,RandomForest,0.815789474,0.775219298
2,26,RandomForest,0.809210526,0.775219298
2,27,RandomForest,0.813596491,0.775219298
2,28,RandomForest,0.809210526,0.775219298
2,29,RandomForest,0.775219298,0.775219298
2,30,RandomForest,0.809210526,0.775219298
2,1,SVM,0.701754386,0.775219298
2,2,SVM,0.751096491,0.775219298
2,3,SVM,0.790570175,0.775219298
2,4,SVM,0.8125,0.775219298
2,5,SVM,0.80372807,0.775219298
2,6,SVM,0.791666667,0.775219298
2,7,SVM,0.8125,0.775219298
2,8,SVM,0.775219298,0.775219298
2,9,SVM,0.80372807,0.775219298
2,10,SVM,0.807017544,0.775219298
2,11,SVM,0.80372807,0.775219298
2,12,SVM,0.80372807,0.775219298
2,13,SVM,0.80372807,0.775219298
2,14,SVM,0.80372807,0.775219298
2,15,SVM,0.80372807,0.775219298
2,16,SVM,0.80372807,0.775219298
2,17,SVM,0.80372807,0.775219298
2,18,SVM,0.775219298,0.775219298
2,19,SVM,0.80372807,0.775219298
2,20,SVM,0.815789474,0.775219298
2,21,SVM,0.815789474,0.775219298
2,22,SVM,0.80372807,0.775219298
2,23,SVM,0.80372807,0.775219298
2,24,SVM,0.775219298,0.775219298
2,25,SVM,0.775219298,0.775219298
2,26,SVM,0.80372807,0.775219298
2,27,SVM,0.775219298,0.775219298
2,28,SVM,0.775219298,0.775219298
2,29,SVM,0.80372807,0.775219298
2,30,SVM,0.775219298,0.775219298
3,1,TVS-RF,0.582236842,0.809210526
3,2,TVS-RF,0.643640351,0.809210526
3,3,TVS-RF,0.596491228,0.809210526
3,4,TVS-RF,0.638157895,0.809210526
3,5,TVS-RF,0.618421053,0.809210526
3,6,TVS-RF,0.640350877,0.809210526
3,7,TVS-RF,0.702850877,0.809210526
3,8,TVS-RF,0.665570175,0.809210526
3,9,TVS-RF,0.674342105,0.809210526
3,10,TVS-RF,0.697368421,0.809210526
3,11,TVS-RF,0.776315789,0.809210526
3,12,TVS-RF,0.703947368,0.809210526
3,13,TVS-RF,0.63377193,0.809210526
3,14,TVS-RF,0.709429825,0.809210526
3,15,TVS-RF,0.733552632,0.809210526
3,16,TVS-RF,0.689692982,0.809210526
3,17,TVS-RF,0.674342105,0.809210526
3,18,TVS-RF,0.697368421,0.809210526
3,19,TVS-RF,0.692982456,0.809210526
3,20,TVS-RF,0.645833333,0.809210526
3,21,TVS-RF,0.689692982,0.809210526
3,22,TVS-RF,0.668859649,0.809210526
3,23,TVS-RF,0.776315789,0.809210526
3,24,TVS-RF,0.790570175,0.809210526
3,25,TVS-RF,0.684210526,0.809210526
3,26,TVS-RF,0.699561404,0.809210526
3,27,TVS-RF,0.671052632,0.809210526
3,28,TVS-RF,0.790570175,0.809210526
3,29,TVS-RF,0.783991228,0.809210526
3,30,TVS-RF,0.783991228,0.809210526
3,1,REVS-RF,0.582236842,0.809210526
3,2,REVS-RF,0.769736842,0.809210526
3,3,REVS-RF,0.790570175,0.809210526
3,4,REVS-RF,0.805921053,0.809210526
3,5,REVS-RF,0.814692982,0.809210526
3,6,REVS-RF,0.805921053,0.809210526
3,7,REVS-RF,0.791666667,0.809210526
3,8,REVS-RF,0.791666667,0.809210526
3,9,REVS-RF,0.809210526,0.809210526
3,10,REVS-RF,0.824561404,0.809210526
3,11,REVS-RF,0.813596491,0.809210526
3,12,REVS-RF,0.8125,0.809210526
3,13,REVS-RF,0.8125,0.809210526
3,14,REVS-RF,0.815789474,0.809210526
3,15,REVS-RF,0.813596491,0.809210526
3,16,REVS-RF,0.809210526,0.809210526
3,17,REVS-RF,0.815789474,0.809210526
3,18,REVS-RF,0.775219298,0.809210526
3,19,REVS-RF,0.824561404,0.809210526
3,20,REVS-RF,0.815789474,0.809210526
3,21,REVS-RF,0.815789474,0.809210526
3,22,REVS-RF,0.815789474,0.809210526
3,23,REVS-RF,0.775219298,0.809210526
3,24,REVS-RF,0.815789474,0.809210526
3,25,REVS-RF,0.815789474,0.809210526
3,26,REVS-RF,0.836622807,0.809210526
3,27,REVS-RF,0.815789474,0.809210526
3,28,REVS-RF,0.809210526,0.809210526
3,29,REVS-RF,0.815789474,0.809210526
3,30,REVS-RF,0.809210526,0.809210526
3,1,Logistic,0.535087719,0.809210526
3,2,Logistic,0.597587719,0.809210526
3,3,Logistic,0.638157895,0.809210526
3,4,Logistic,0.734649123,0.809210526
3,5,Logistic,0.755482456,0.809210526
3,6,Logistic,0.592105263,0.809210526
3,7,Logistic,0.651315789,0.809210526
3,8,Logistic,0.657894737,0.809210526
3,9,Logistic,0.718201754,0.809210526
3,10,Logistic,0.652412281,0.809210526
3,11,Logistic,0.654605263,0.809210526
3,12,Logistic,0.734649123,0.809210526
3,13,Logistic,0.793859649,0.809210526
3,14,Logistic,0.751096491,0.809210526
